"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1399","test_navigation_back_to_products_page_from_cart_page[firefox]","tests","2026-08-20","passed","2026-08-20","TestCartPage","test_cart_page","",""
"","1117","Login validation: valid_username_empty_password","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","1987","test_e2e[chromium]","tests","2026-08-20","passed","2026-08-20","TestE2E","test_e2e","",""
"","2627","test_remove_random_products_from_cart[firefox]","tests","2026-08-20","passed","2026-08-20","TestCartPage","test_cart_page","",""
"","1094","test_back_to_products_from_checkout_overview_page[chromium]","tests","2026-08-20","passed","2026-08-20","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1530","Logout","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","532","Login validation: unregistered_user","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","1106","Login with valid username and password","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","3279","test_e2e[firefox]","tests","2026-08-20","passed","2026-08-20","TestE2E","test_e2e","",""
"","1447","test_navigation_to_products_page[firefox]","tests","2026-08-20","passed","2026-08-20","TestProductsPage","test_products_page","",""
"","489","test_navigation_to_checkout_info_page[chromium]","tests","2026-08-20","passed","2026-08-20","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1451","test_add_random_products_to_cart[firefox]","tests","2026-08-20","passed","2026-08-20","TestProductsPage","test_products_page","",""
"","474","Login validation: empty_username_empty_password","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","489","test_invalid_fill_checkout_info_form[Empty last name-chromium]","tests","2026-08-20","passed","2026-08-20","TestCheckoutInfoPage","test_checkout_info_page","",""
"","1886","Login with valid username and password","tests","2026-08-20","passed","2026-08-20","TestAuthorization","test_login_page","",""
"","1448","test_back_to_products_from_checkout_complete_page[firefox]","tests","2026-08-20","passed","2026-08-20","TestCheckoutCompletePage","test_checkout_complete_page","",""
"","1122","test_checkout_overview_displays_correct_products_total_price[chromium]","tests","2026-08-20","passed","2026-08-20","TestCheckoutOverviewPage","test_checkout_overview_page","",""
"","1855","test_back_to_products_from_checkout_overview_page[firefox]","tests","2026-08-20","passed","2026-08-20","TestCheckoutOverviewPage","test_checkout_overview_page","",""
